GEOID,county_name,total_pop,median_hh_income,pov_rate,under_200_fpl_pct,uninsured_pct,pct_65_plus,lep_pct,pct_hispanic,pct_black_nh,pct_white_nh,pct_asian_nh,need_score
34013003100,Essex,1941,42861.0,33.26,61.47,10.21,6.49,7.02,21.12,78.05,0.15,0.0,26.2
34013003500,Essex,3548,33239.0,60.51,73.65,13.73,5.07,0.0,1.89,96.17,0.0,0.0,32.8
34013003700,Essex,2657,37226.0,46.52,70.22,9.56,8.05,0.0,16.56,81.82,1.62,0.0,28.7
34013003800,Essex,1861,35959.0,38.9,64.75,13.0,10.69,10.58,25.26,70.34,1.07,1.34,31.0
34013003900,Essex,1366,25704.0,51.32,71.38,5.27,18.59,2.97,2.49,97.14,0.0,0.37,32.8
34013004100,Essex,3978,41525.0,34.41,55.33,12.39,6.39,1.9,18.05,77.8,0.4,2.44,23.8
34013004200,Essex,2702,45340.0,16.04,53.93,11.18,9.96,1.58,12.69,79.87,1.18,0.11,19.7
34013004300,Essex,2570,56710.0,21.76,43.09,9.69,9.77,0.0,1.75,94.2,2.96,0.0,18.0
34013004400,Essex,1676,56108.0,25.36,41.11,10.8,5.31,0.0,22.55,76.43,1.01,0.0,17.6
34013004500,Essex,3312,59647.0,15.65,30.74,13.41,16.82,0.0,2.96,93.24,2.48,0.0,16.5
34013004600,Essex,3970,45960.0,28.31,60.81,16.25,5.57,2.86,13.83,79.77,3.02,0.0,24.4
34013004700,Essex,4674,61761.0,9.18,27.66,17.03,16.28,3.08,4.58,93.0,0.19,0.04,16.1
34013004801,Essex,2627,49526.0,19.45,38.64,11.04,10.2,4.26,12.03,86.64,0.0,0.0,18.5
34013004802,Essex,3702,12500.0,45.84,66.17,5.48,17.21,3.35,18.1,71.34,3.38,0.59,30.4
34013004900,Essex,3932,38100.0,40.44,68.79,17.47,11.16,11.05,8.77,77.52,3.28,0.0,33.4
34013005000,Essex,3199,52482.0,20.01,33.32,13.54,7.91,2.03,12.69,77.68,0.13,1.53,16.7
34013005100,Essex,2816,51977.0,16.05,40.77,14.1,10.44,6.46,17.54,75.39,0.0,2.24,19.6
34013005200,Essex,2040,41667.0,33.38,57.01,18.87,12.25,3.89,11.57,84.71,0.0,3.38,27.3
34013005300,Essex,3348,41359.0,24.13,51.85,10.07,11.68,1.96,10.84,86.14,0.78,0.0,21.5
34013005400,Essex,4208,18326.0,57.99,82.93,6.49,7.6,2.32,26.45,59.53,0.52,2.76,34.1
34013005700,Essex,2783,35955.0,38.32,49.54,26.81,9.63,9.7,59.97,16.06,7.98,3.95,30.0
34013006200,Essex,1917,21756.0,52.84,67.97,8.35,7.82,9.02,30.46,66.72,1.98,0.83,32.7
34013006400,Essex,1376,55341.0,27.49,33.31,12.79,11.99,2.52,7.27,65.62,4.43,20.42,19.4
34013006600,Essex,1923,71278.0,27.66,34.7,15.43,8.27,10.82,16.9,77.38,0.57,0.0,22.4
34013006700,Essex,3659,,26.55,47.61,10.56,20.93,10.18,42.96,50.89,3.47,0.0,26.5
34013006800,Essex,6411,69124.0,16.85,33.49,39.39,5.91,43.05,44.49,10.15,27.92,1.31,35.6
34013006900,Essex,5295,63217.0,25.93,40.98,44.53,6.35,49.72,44.4,1.91,33.98,0.0,42.8
34013007000,Essex,4742,43603.0,21.43,69.59,55.93,4.81,54.97,59.0,0.02,18.14,0.02,51.3
34013007100,Essex,4040,54603.0,15.52,42.31,37.23,10.07,41.89,44.98,1.41,28.81,0.3,37.2
34013007200,Essex,4018,62349.0,9.98,46.57,43.31,7.29,37.8,63.89,2.89,27.03,0.0,35.8
34013007300,Essex,4995,51038.0,15.06,46.79,33.77,11.19,49.87,31.41,0.42,48.07,1.64,40.4
34013007400,Essex,6440,66336.0,13.35,37.31,34.73,3.65,47.59,25.53,36.29,23.77,1.43,35.7
34013007501,Essex,4763,40579.0,23.37,63.55,41.05,7.66,41.71,55.7,8.8,24.61,0.78,43.4
34013007502,Essex,3258,57521.0,28.85,54.36,41.99,5.34,37.92,58.99,8.84,16.21,0.0,41.1
